Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
15,0.085,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.092,0.093,0.086,0.087,0.094,0.094,0.095,0.096,0.091,0.093,0.086,0.086,0.092,0.093,0.092,0.095,0.091,0.091,0.085,0.086,0.092,0.092,0.091,0.096,0.091,0.093,0.085,0.086,0.094,0.092,0.093,0.094,0.085,0.085,0.085,0.086,0.087,0.087,0.087,0.088
30,0.085,0.086,0.085,0.086,0.087,0.086,0.087,0.086,0.092,0.093,0.086,0.087,0.094,0.094,0.094,0.095,0.091,0.093,0.086,0.086,0.093,0.094,0.09,0.094,0.091,0.091,0.086,0.086,0.092,0.092,0.09,0.095,0.091,0.093,0.085,0.086,0.093,0.092,0.093,0.094,0.085,0.086,0.085,0.086,0.087,0.087,0.087,0.088
45,0.085,0.086,0.085,0.086,0.087,0.086,0.086,0.086,0.092,0.093,0.086,0.087,0.095,0.094,0.094,0.095,0.091,0.092,0.086,0.086,0.093,0.095,0.09,0.094,0.091,0.09,0.085,0.086,0.092,0.092,0.09,0.095,0.091,0.092,0.085,0.086,0.094,0.093,0.092,0.094,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
60,0.085,0.086,0.085,0.086,0.087,0.086,0.086,0.086,0.092,0.093,0.086,0.087,0.095,0.095,0.093,0.095,0.091,0.092,0.086,0.086,0.094,0.094,0.089,0.094,0.091,0.09,0.086,0.086,0.092,0.093,0.09,0.095,0.091,0.092,0.086,0.086,0.094,0.093,0.092,0.094,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
75,0.085,0.085,0.085,0.086,0.087,0.086,0.086,0.086,0.092,0.092,0.086,0.087,0.096,0.096,0.092,0.094,0.091,0.092,0.086,0.086,0.094,0.095,0.089,0.094,0.091,0.09,0.086,0.086,0.093,0.093,0.09,0.095,0.091,0.092,0.085,0.086,0.095,0.094,0.091,0.094,0.085,0.086,0.085,0.087,0.087,0.087,0.087,0.088
90,0.085,0.085,0.086,0.086,0.087,0.086,0.086,0.086,0.092,0.092,0.086,0.087,0.096,0.097,0.092,0.094,0.091,0.092,0.086,0.086,0.094,0.096,0.089,0.094,0.091,0.09,0.086,0.086,0.093,0.094,0.089,0.095,0.09,0.092,0.085,0.086,0.095,0.094,0.091,0.094,0.085,0.086,0.085,0.086,0.087,0.087,0.086,0.088
105,0.085,0.086,0.086,0.086,0.087,0.086,0.086,0.086,0.092,0.092,0.086,0.087,0.097,0.098,0.091,0.094,0.091,0.092,0.086,0.086,0.094,0.096,0.088,0.094,0.09,0.09,0.086,0.086,0.094,0.095,0.089,0.095,0.09,0.092,0.085,0.086,0.096,0.095,0.091,0.094,0.085,0.086,0.086,0.087,0.087,0.087,0.086,0.088
120,0.085,0.086,0.086,0.086,0.087,0.086,0.086,0.086,0.092,0.092,0.086,0.087,0.098,0.098,0.091,0.094,0.091,0.092,0.086,0.086,0.095,0.097,0.088,0.094,0.09,0.09,0.086,0.086,0.095,0.095,0.089,0.095,0.09,0.092,0.085,0.086,0.097,0.095,0.092,0.094,0.085,0.086,0.085,0.086,0.087,0.087,0.086,0.088
135,0.086,0.086,0.086,0.086,0.087,0.086,0.086,0.086,0.092,0.092,0.086,0.087,0.099,0.099,0.091,0.095,0.091,0.092,0.086,0.086,0.096,0.098,0.089,0.094,0.09,0.09,0.086,0.086,0.095,0.096,0.089,0.095,0.09,0.091,0.085,0.086,0.098,0.096,0.092,0.094,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
150,0.085,0.086,0.086,0.086,0.087,0.086,0.086,0.086,0.093,0.092,0.086,0.087,0.099,0.1,0.091,0.095,0.091,0.092,0.086,0.087,0.097,0.098,0.088,0.094,0.09,0.09,0.086,0.086,0.096,0.096,0.089,0.095,0.09,0.091,0.086,0.086,0.098,0.097,0.092,0.094,0.085,0.086,0.085,0.087,0.087,0.087,0.086,0.088
165,0.085,0.086,0.085,0.086,0.087,0.086,0.086,0.086,0.092,0.092,0.086,0.087,0.1,0.1,0.091,0.094,0.091,0.092,0.086,0.086,0.097,0.099,0.088,0.094,0.091,0.09,0.086,0.086,0.096,0.097,0.089,0.095,0.09,0.091,0.086,0.085,0.099,0.097,0.092,0.094,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
180,0.085,0.086,0.085,0.086,0.086,0.086,0.086,0.086,0.092,0.092,0.086,0.086,0.1,0.101,0.091,0.095,0.091,0.092,0.086,0.086,0.098,0.099,0.088,0.094,0.091,0.09,0.086,0.086,0.097,0.097,0.089,0.095,0.09,0.091,0.085,0.086,0.099,0.098,0.092,0.094,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
195,0.085,0.085,0.085,0.086,0.086,0.086,0.086,0.086,0.092,0.092,0.087,0.087,0.101,0.102,0.092,0.095,0.091,0.092,0.086,0.086,0.098,0.1,0.088,0.095,0.091,0.09,0.086,0.086,0.097,0.097,0.089,0.095,0.09,0.09,0.086,0.086,0.099,0.098,0.092,0.094,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
210,0.085,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.092,0.092,0.087,0.087,0.101,0.102,0.091,0.095,0.091,0.092,0.086,0.086,0.098,0.1,0.088,0.095,0.091,0.09,0.086,0.086,0.098,0.098,0.089,0.095,0.09,0.09,0.085,0.086,0.1,0.099,0.092,0.094,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
225,0.085,0.086,0.085,0.086,0.086,0.086,0.087,0.086,0.092,0.092,0.087,0.087,0.102,0.102,0.091,0.095,0.091,0.092,0.086,0.086,0.099,0.101,0.088,0.095,0.091,0.09,0.086,0.086,0.098,0.098,0.089,0.095,0.09,0.09,0.086,0.086,0.1,0.099,0.092,0.094,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
240,0.085,0.086,0.085,0.086,0.087,0.086,0.087,0.086,0.093,0.093,0.087,0.087,0.103,0.102,0.091,0.095,0.091,0.092,0.086,0.086,0.1,0.102,0.088,0.095,0.091,0.09,0.086,0.086,0.099,0.099,0.089,0.096,0.09,0.089,0.085,0.085,0.101,0.1,0.092,0.094,0.085,0.086,0.085,0.086,0.087,0.087,0.086,0.088
255,0.085,0.086,0.085,0.086,0.087,0.086,0.087,0.086,0.093,0.093,0.087,0.087,0.103,0.103,0.091,0.095,0.091,0.092,0.086,0.086,0.1,0.101,0.088,0.095,0.091,0.09,0.086,0.086,0.099,0.1,0.089,0.096,0.09,0.089,0.086,0.086,0.101,0.1,0.092,0.095,0.085,0.086,0.085,0.086,0.087,0.087,0.087,0.088
270,0.085,0.085,0.085,0.085,0.086,0.086,0.087,0.086,0.093,0.093,0.087,0.087,0.104,0.104,0.091,0.095,0.091,0.092,0.086,0.086,0.101,0.102,0.088,0.095,0.091,0.09,0.086,0.087,0.1,0.1,0.089,0.096,0.091,0.089,0.085,0.085,0.102,0.101,0.092,0.095,0.085,0.086,0.085,0.086,0.087,0.087,0.087,0.088
285,0.085,0.085,0.085,0.085,0.087,0.086,0.087,0.086,0.093,0.093,0.087,0.087,0.105,0.104,0.092,0.096,0.091,0.092,0.086,0.086,0.101,0.103,0.088,0.096,0.091,0.09,0.086,0.086,0.1,0.101,0.089,0.096,0.091,0.089,0.086,0.085,0.103,0.102,0.092,0.095,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
300,0.085,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.093,0.093,0.087,0.087,0.106,0.105,0.092,0.096,0.091,0.092,0.086,0.086,0.102,0.104,0.088,0.096,0.091,0.09,0.086,0.086,0.101,0.102,0.089,0.096,0.091,0.089,0.086,0.085,0.104,0.102,0.092,0.095,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
315,0.085,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.093,0.093,0.087,0.087,0.106,0.106,0.092,0.096,0.092,0.092,0.086,0.086,0.103,0.104,0.088,0.096,0.091,0.091,0.086,0.086,0.101,0.102,0.089,0.097,0.091,0.089,0.086,0.085,0.104,0.103,0.092,0.095,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
330,0.085,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.093,0.093,0.087,0.087,0.107,0.106,0.092,0.096,0.092,0.092,0.086,0.086,0.103,0.105,0.088,0.096,0.091,0.09,0.086,0.086,0.102,0.102,0.089,0.097,0.091,0.089,0.086,0.086,0.105,0.103,0.092,0.095,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
345,0.085,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.094,0.093,0.087,0.087,0.107,0.107,0.092,0.097,0.092,0.091,0.086,0.087,0.104,0.105,0.088,0.096,0.092,0.089,0.086,0.086,0.103,0.103,0.089,0.097,0.091,0.09,0.086,0.085,0.105,0.104,0.092,0.096,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
360,0.085,0.085,0.085,0.085,0.086,0.086,0.087,0.086,0.094,0.093,0.087,0.087,0.108,0.108,0.092,0.097,0.092,0.091,0.086,0.086,0.105,0.106,0.089,0.096,0.092,0.089,0.086,0.086,0.103,0.104,0.089,0.097,0.091,0.09,0.086,0.085,0.11,0.105,0.092,0.096,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
375,0.085,0.085,0.085,0.085,0.086,0.086,0.087,0.086,0.094,0.093,0.087,0.087,0.108,0.109,0.092,0.097,0.093,0.091,0.086,0.086,0.105,0.107,0.089,0.097,0.092,0.089,0.086,0.086,0.104,0.104,0.089,0.098,0.091,0.09,0.086,0.085,0.107,0.106,0.092,0.096,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
390,0.085,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.095,0.092,0.087,0.086,0.109,0.11,0.092,0.097,0.093,0.091,0.086,0.086,0.107,0.108,0.089,0.097,0.092,0.089,0.086,0.086,0.105,0.105,0.089,0.098,0.092,0.09,0.085,0.085,0.107,0.107,0.092,0.096,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
405,0.085,0.085,0.085,0.085,0.086,0.086,0.087,0.086,0.095,0.092,0.087,0.086,0.11,0.111,0.092,0.098,0.093,0.091,0.086,0.087,0.108,0.109,0.089,0.097,0.093,0.089,0.086,0.086,0.105,0.106,0.089,0.098,0.092,0.09,0.085,0.086,0.108,0.108,0.092,0.097,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
420,0.085,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.096,0.092,0.087,0.087,0.112,0.112,0.092,0.098,0.094,0.091,0.086,0.087,0.108,0.11,0.089,0.097,0.093,0.089,0.086,0.086,0.106,0.107,0.09,0.098,0.092,0.09,0.086,0.086,0.109,0.109,0.092,0.097,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
435,0.085,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.096,0.092,0.087,0.087,0.112,0.113,0.092,0.099,0.094,0.09,0.086,0.086,0.109,0.111,0.089,0.098,0.093,0.089,0.086,0.086,0.106,0.108,0.089,0.099,0.092,0.09,0.086,0.086,0.111,0.11,0.092,0.098,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
450,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.096,0.093,0.087,0.087,0.114,0.114,0.092,0.099,0.096,0.091,0.086,0.086,0.11,0.112,0.089,0.098,0.093,0.089,0.086,0.086,0.107,0.108,0.089,0.099,0.092,0.09,0.085,0.086,0.112,0.111,0.092,0.098,0.086,0.085,0.085,0.086,0.087,0.087,0.087,0.088
465,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.097,0.093,0.087,0.087,0.115,0.115,0.092,0.099,0.095,0.091,0.086,0.086,0.111,0.113,0.089,0.098,0.094,0.089,0.086,0.086,0.108,0.11,0.09,0.099,0.092,0.09,0.085,0.086,0.113,0.111,0.092,0.098,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
480,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.097,0.092,0.087,0.087,0.115,0.117,0.093,0.099,0.095,0.091,0.086,0.086,0.111,0.114,0.089,0.099,0.094,0.089,0.086,0.086,0.109,0.111,0.09,0.1,0.091,0.09,0.085,0.086,0.114,0.113,0.093,0.099,0.086,0.085,0.085,0.086,0.087,0.087,0.087,0.088
495,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.098,0.092,0.087,0.087,0.117,0.118,0.093,0.1,0.096,0.091,0.086,0.086,0.113,0.116,0.089,0.099,0.094,0.09,0.086,0.086,0.111,0.112,0.09,0.1,0.092,0.091,0.086,0.086,0.114,0.114,0.093,0.099,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
510,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.098,0.093,0.087,0.087,0.119,0.12,0.093,0.1,0.095,0.091,0.086,0.087,0.114,0.117,0.089,0.099,0.094,0.09,0.086,0.086,0.112,0.114,0.09,0.1,0.093,0.091,0.086,0.086,0.116,0.115,0.093,0.099,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
525,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.099,0.093,0.087,0.087,0.121,0.122,0.093,0.101,0.096,0.091,0.086,0.087,0.115,0.119,0.089,0.1,0.095,0.09,0.086,0.086,0.113,0.115,0.09,0.101,0.093,0.091,0.086,0.086,0.117,0.117,0.093,0.1,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
540,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.099,0.093,0.087,0.087,0.122,0.124,0.093,0.101,0.096,0.092,0.086,0.087,0.117,0.12,0.089,0.1,0.095,0.09,0.086,0.086,0.114,0.116,0.09,0.101,0.093,0.091,0.086,0.086,0.118,0.118,0.093,0.1,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
555,0.086,0.085,0.085,0.086,0.087,0.086,0.088,0.086,0.099,0.093,0.087,0.086,0.124,0.126,0.093,0.101,0.097,0.092,0.086,0.087,0.118,0.122,0.089,0.101,0.095,0.09,0.086,0.086,0.116,0.118,0.09,0.101,0.093,0.091,0.086,0.09,0.12,0.12,0.093,0.1,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
570,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.1,0.093,0.087,0.086,0.126,0.128,0.093,0.102,0.096,0.092,0.086,0.087,0.119,0.124,0.089,0.101,0.095,0.09,0.086,0.086,0.117,0.119,0.09,0.102,0.092,0.091,0.086,0.086,0.121,0.122,0.093,0.101,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
585,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.1,0.093,0.087,0.086,0.128,0.129,0.093,0.102,0.096,0.092,0.086,0.087,0.121,0.126,0.09,0.102,0.095,0.091,0.086,0.086,0.118,0.122,0.09,0.102,0.092,0.092,0.086,0.086,0.123,0.124,0.093,0.101,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
600,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.087,0.1,0.093,0.087,0.087,0.129,0.132,0.094,0.103,0.096,0.092,0.086,0.087,0.123,0.128,0.09,0.102,0.095,0.091,0.086,0.086,0.12,0.123,0.09,0.102,0.092,0.092,0.086,0.086,0.124,0.126,0.093,0.102,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
615,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.1,0.094,0.087,0.086,0.133,0.135,0.094,0.103,0.096,0.092,0.086,0.087,0.125,0.13,0.09,0.102,0.094,0.091,0.086,0.086,0.122,0.125,0.09,0.102,0.092,0.092,0.086,0.086,0.126,0.128,0.093,0.102,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
630,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.101,0.094,0.087,0.086,0.134,0.137,0.094,0.104,0.096,0.092,0.086,0.087,0.127,0.133,0.09,0.103,0.093,0.091,0.086,0.086,0.124,0.128,0.09,0.103,0.091,0.092,0.085,0.086,0.128,0.13,0.093,0.102,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
645,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.101,0.094,0.087,0.086,0.136,0.141,0.094,0.104,0.096,0.092,0.086,0.087,0.129,0.135,0.09,0.104,0.093,0.091,0.086,0.086,0.126,0.13,0.09,0.104,0.091,0.092,0.086,0.086,0.13,0.133,0.093,0.102,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
660,0.086,0.085,0.085,0.086,0.087,0.085,0.087,0.086,0.1,0.094,0.087,0.086,0.139,0.143,0.094,0.105,0.095,0.093,0.086,0.087,0.131,0.138,0.09,0.104,0.093,0.091,0.086,0.086,0.128,0.133,0.09,0.104,0.091,0.093,0.085,0.086,0.132,0.136,0.093,0.103,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
675,0.086,0.085,0.085,0.086,0.086,0.085,0.087,0.086,0.1,0.095,0.087,0.086,0.141,0.146,0.094,0.104,0.095,0.093,0.086,0.087,0.133,0.141,0.09,0.104,0.093,0.091,0.086,0.086,0.129,0.135,0.09,0.105,0.091,0.093,0.085,0.086,0.135,0.139,0.094,0.103,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
690,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.099,0.095,0.087,0.086,0.143,0.149,0.094,0.105,0.095,0.093,0.086,0.087,0.136,0.143,0.09,0.104,0.093,0.092,0.086,0.086,0.132,0.138,0.09,0.104,0.091,0.093,0.085,0.086,0.137,0.142,0.094,0.104,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
705,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.099,0.096,0.088,0.086,0.146,0.153,0.094,0.105,0.095,0.093,0.086,0.087,0.14,0.147,0.09,0.105,0.093,0.092,0.086,0.086,0.134,0.141,0.09,0.105,0.092,0.093,0.085,0.086,0.14,0.145,0.094,0.104,0.086,0.086,0.085,0.086,0.087,0.087,0.086,0.088
720,0.086,0.086,0.086,0.086,0.087,0.086,0.087,0.086,0.099,0.096,0.088,0.086,0.149,0.158,0.095,0.106,0.095,0.094,0.086,0.087,0.141,0.15,0.09,0.105,0.094,0.092,0.086,0.086,0.137,0.144,0.091,0.105,0.092,0.094,0.086,0.086,0.143,0.148,0.094,0.104,0.086,0.086,0.086,0.086,0.087,0.087,0.087,0.088
735,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.099,0.097,0.088,0.086,0.15,0.161,0.095,0.107,0.095,0.094,0.086,0.087,0.143,0.154,0.09,0.105,0.094,0.092,0.086,0.086,0.139,0.148,0.091,0.105,0.092,0.094,0.086,0.086,0.145,0.152,0.094,0.105,0.086,0.086,0.086,0.086,0.087,0.087,0.087,0.088
750,0.086,0.086,0.086,0.086,0.087,0.086,0.087,0.086,0.1,0.097,0.088,0.086,0.153,0.166,0.095,0.107,0.096,0.094,0.086,0.087,0.146,0.158,0.091,0.105,0.094,0.093,0.086,0.086,0.142,0.151,0.091,0.106,0.092,0.095,0.086,0.086,0.148,0.156,0.094,0.106,0.086,0.086,0.086,0.086,0.087,0.087,0.087,0.088
765,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.1,0.097,0.088,0.086,0.157,0.17,0.095,0.107,0.096,0.094,0.086,0.087,0.149,0.163,0.09,0.106,0.095,0.093,0.086,0.086,0.145,0.156,0.091,0.106,0.092,0.095,0.086,0.086,0.151,0.16,0.095,0.106,0.086,0.086,0.085,0.086,0.087,0.087,0.087,0.088
780,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.087,0.101,0.097,0.088,0.086,0.16,0.176,0.095,0.108,0.096,0.095,0.086,0.087,0.153,0.167,0.091,0.106,0.095,0.093,0.086,0.086,0.148,0.16,0.091,0.107,0.093,0.095,0.086,0.089,0.155,0.165,0.095,0.106,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
795,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.101,0.097,0.088,0.087,0.164,0.181,0.095,0.109,0.096,0.095,0.086,0.089,0.156,0.172,0.091,0.107,0.095,0.093,0.086,0.086,0.151,0.164,0.091,0.107,0.093,0.095,0.086,0.086,0.158,0.17,0.094,0.107,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
810,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.102,0.098,0.088,0.087,0.168,0.186,0.095,0.109,0.097,0.095,0.086,0.089,0.16,0.177,0.091,0.108,0.096,0.093,0.086,0.086,0.155,0.17,0.091,0.108,0.093,0.095,0.086,0.085,0.161,0.175,0.095,0.107,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
825,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.102,0.098,0.088,0.087,0.172,0.192,0.095,0.111,0.097,0.096,0.086,0.089,0.164,0.184,0.091,0.109,0.096,0.094,0.086,0.086,0.159,0.175,0.091,0.108,0.094,0.096,0.086,0.085,0.166,0.181,0.095,0.108,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
840,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.103,0.099,0.088,0.087,0.176,0.198,0.095,0.111,0.097,0.096,0.086,0.089,0.168,0.19,0.091,0.109,0.096,0.094,0.086,0.086,0.162,0.18,0.091,0.109,0.095,0.096,0.086,0.086,0.17,0.187,0.095,0.109,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
855,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.104,0.099,0.088,0.087,0.181,0.206,0.095,0.112,0.098,0.096,0.086,0.089,0.173,0.197,0.091,0.11,0.097,0.094,0.086,0.086,0.166,0.187,0.091,0.11,0.095,0.096,0.086,0.086,0.174,0.194,0.095,0.11,0.086,0.086,0.086,0.087,0.087,0.087,0.086,0.088
870,0.086,0.085,0.085,0.086,0.086,0.086,0.087,0.086,0.105,0.101,0.088,0.087,0.187,0.213,0.095,0.113,0.099,0.097,0.086,0.089,0.177,0.204,0.091,0.111,0.098,0.095,0.086,0.086,0.171,0.194,0.091,0.111,0.096,0.097,0.086,0.086,0.179,0.201,0.095,0.111,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
885,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.106,0.101,0.088,0.087,0.193,0.221,0.096,0.114,0.1,0.098,0.086,0.089,0.183,0.212,0.091,0.112,0.099,0.095,0.086,0.086,0.176,0.201,0.091,0.112,0.097,0.098,0.086,0.086,0.185,0.209,0.095,0.112,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
900,0.086,0.085,0.086,0.086,0.087,0.086,0.087,0.086,0.108,0.102,0.088,0.087,0.198,0.23,0.096,0.115,0.101,0.098,0.086,0.09,0.19,0.22,0.091,0.113,0.099,0.096,0.086,0.086,0.181,0.209,0.091,0.113,0.098,0.098,0.086,0.086,0.19,0.217,0.095,0.113,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
915,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.109,0.103,0.088,0.087,0.204,0.24,0.096,0.116,0.102,0.099,0.086,0.09,0.194,0.229,0.091,0.114,0.101,0.097,0.086,0.086,0.187,0.217,0.091,0.114,0.099,0.099,0.086,0.086,0.196,0.226,0.095,0.114,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
930,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.087,0.111,0.104,0.088,0.087,0.211,0.25,0.096,0.117,0.103,0.1,0.086,0.09,0.203,0.239,0.091,0.115,0.102,0.098,0.086,0.086,0.193,0.225,0.091,0.115,0.1,0.101,0.086,0.086,0.204,0.237,0.096,0.115,0.086,0.086,0.086,0.087,0.087,0.087,0.086,0.088
945,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.087,0.112,0.105,0.088,0.087,0.222,0.26,0.096,0.118,0.104,0.101,0.086,0.09,0.21,0.249,0.091,0.116,0.103,0.099,0.086,0.086,0.198,0.235,0.091,0.116,0.102,0.101,0.086,0.086,0.209,0.246,0.096,0.116,0.086,0.086,0.086,0.087,0.087,0.087,0.086,0.088
960,0.086,0.086,0.085,0.086,0.087,0.086,0.087,0.087,0.114,0.106,0.088,0.087,0.228,0.273,0.096,0.12,0.106,0.102,0.086,0.09,0.214,0.26,0.091,0.118,0.104,0.1,0.086,0.086,0.205,0.245,0.091,0.117,0.103,0.102,0.086,0.086,0.215,0.256,0.095,0.118,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.089
975,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.116,0.107,0.087,0.087,0.232,0.284,0.096,0.122,0.107,0.103,0.086,0.09,0.22,0.271,0.091,0.119,0.105,0.1,0.086,0.086,0.211,0.255,0.092,0.118,0.103,0.103,0.086,0.086,0.222,0.267,0.095,0.119,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
990,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.118,0.108,0.088,0.087,0.239,0.298,0.096,0.124,0.109,0.104,0.086,0.089,0.228,0.282,0.091,0.121,0.108,0.102,0.086,0.086,0.218,0.265,0.092,0.12,0.105,0.104,0.086,0.086,0.231,0.279,0.096,0.121,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
1005,0.086,0.086,0.086,0.086,0.087,0.086,0.087,0.087,0.119,0.11,0.088,0.087,0.249,0.313,0.097,0.125,0.111,0.106,0.086,0.089,0.236,0.295,0.091,0.122,0.109,0.103,0.086,0.086,0.225,0.278,0.092,0.122,0.106,0.105,0.086,0.086,0.241,0.294,0.096,0.123,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088
1020,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.121,0.111,0.088,0.086,0.258,0.327,0.097,0.127,0.112,0.107,0.086,0.09,0.244,0.309,0.092,0.124,0.11,0.104,0.086,0.086,0.234,0.29,0.092,0.123,0.108,0.107,0.086,0.086,0.248,0.305,0.096,0.124,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
1035,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.123,0.113,0.088,0.086,0.27,0.344,0.097,0.129,0.114,0.108,0.086,0.09,0.254,0.323,0.092,0.126,0.112,0.105,0.086,0.086,0.244,0.302,0.092,0.125,0.11,0.108,0.086,0.086,0.258,0.319,0.096,0.126,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
1050,0.086,0.085,0.085,0.086,0.087,0.086,0.087,0.086,0.125,0.114,0.088,0.086,0.279,0.36,0.097,0.132,0.116,0.11,0.086,0.089,0.266,0.338,0.092,0.128,0.113,0.106,0.086,0.086,0.253,0.317,0.092,0.127,0.11,0.109,0.086,0.086,0.268,0.335,0.096,0.128,0.086,0.086,0.086,0.087,0.087,0.087,0.086,0.088
1065,0.086,0.086,0.085,0.086,0.087,0.086,0.087,0.086,0.127,0.116,0.088,0.086,0.292,0.377,0.098,0.134,0.117,0.111,0.086,0.089,0.278,0.354,0.092,0.131,0.115,0.107,0.086,0.086,0.264,0.331,0.092,0.129,0.112,0.11,0.086,0.086,0.278,0.35,0.097,0.131,0.086,0.086,0.085,0.087,0.087,0.087,0.086,0.088
